#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891045025959250, 0, -0.1034944, 0.2177289, -0.1814095, 2.2846989, 10.9419461, -4.7099556
1891045035921250, 0, -0.0161949, 0.2130209, -0.3004568, 2.4289989, 11.2964090, -5.4950729
1891045045884250, 0, 0.0154820, 0.1084871, -0.3877720, 2.1493803, 11.8336418, -6.5213388
1891045055846250, 0, 0.1307053, -0.0682504, -0.4336361, 1.4711407, 11.9432140, -5.7537350
1891045065809250, 0, 0.3168973, -0.1749798, -0.4574666, 0.7450008, 11.8343903, -4.4158173
1891045075771250, 0, 0.4565814, -0.1163125, -0.4481187, 0.1113684, 11.9792889, -3.7702098
1891045085733250, 0, 0.1763204, 0.3561565, -0.3840510, -0.7493417, 12.4078477, -5.9159976
1891045095696250, 0, -0.6014121, 0.9122693, -0.2905594, -1.3882132, 13.6872372, -13.1967073
1891045105658250, 0, -0.7126403, 0.6510353, -0.1244365, -1.3883629, 13.6044594, -7.5998460
1891045115621250, 0, -0.3942996, 0.4868192, 0.0102311, -1.1569441, 12.2589075, -2.6655070
1891045125583250, 0, -0.0311976, 0.4549332, 0.0677708, -0.5164261, 12.0424576, -3.0216165
1891045135545250, 0, 0.2080374, 0.3481998, 0.1273737, -0.0342787, 12.6603726, -4.0628513
1891045145508250, 0, 0.4538421, 0.1048758, 0.1549520, 0.3629951, 13.1467113, -4.2469684
1891045155470667, 0, 0.7347046, -0.0994965, 0.0764191, 0.7267387, 13.2577803, -3.1358290
1891045165433667, 0, 0.9013969, -0.1129284, -0.0752750, 0.7725435, 13.5323094, -3.1301408
1891045175395667, 0, 0.8821151, -0.0345985, -0.1797857, 0.2302213, 13.6993620, -4.4487488
1891045185358667, 0, 0.7467701, 0.0335683, -0.2127291, -0.5804929, 13.1782956, -5.4956717
1891045195320667, 0, 0.6182683, 0.1089750, -0.2068709, -1.1440709, 12.5858276, -5.5103412
1891045205282667, 0, 0.5043835, 0.2232445, -0.2089002, -1.4590160, 12.2870490, -5.2525772
1891045215245667, 0, 0.3674342, 0.3125984, -0.2318998, -1.6232245, 12.2726788, -5.5515056
1891045225207667, 0, 0.2283029, 0.3137433, -0.2619549, -1.7444724, 12.1298758, -5.8924965
1891045235170667, 0, 0.1172108, 0.2376384, -0.2988029, -1.8820363, 11.7475708, -5.5735098
1891045245132667, 0, 0.0243882, 0.1424442, -0.3160291, -2.1022284, 11.3619727, -5.0097821
1891045255094667, 0, -0.0640810, 0.1202889, -0.2872185, -2.3219714, 10.9006320, -4.6300218
1891045265057667, 0, -0.1493309, 0.2140588, -0.2227295, -2.4435187, 10.3625011, -4.3909689
1891045275019667, 0, -0.2263682, 0.4039270, -0.1495567, -2.3920258, 10.0101338, -4.2848396
1891045284982667, 0, -0.2576196, 0.5602154, -0.0930455, -2.1653970, 9.7549146, -3.9896535
1891045294944667, 0, -0.2241428, 0.6435537, -0.0528049, -1.8474582, 9.3148297, -3.3675471
1891045304906667, 0, -0.1367070, 0.6706979, -0.0395908, -1.6356487, 8.6970644, -2.8601024
1891045314869667, 0, -0.0232912, 0.6708066, -0.0332594, -1.5831079, 8.1993494, -2.4077431
1891045324831667, 0, 0.1042193, 0.6119044, 0.0047268, -1.6955241, 7.6824742, -2.1538710
1891045334794667, 0, 0.2515113, 0.5129911, 0.0748473, -1.7357904, 7.0147128, -2.0369641
1891045344756667, 0, 0.4051139, 0.4036247, 0.1540830, -1.5138020, 6.3179118, -1.8961070
1891045354718667, 0, 0.5529497, 0.2728877, 0.2314132, -1.0952724, 5.7297849, -1.8702109
1891045364681667, 0, 0.6766107, 0.1334537, 0.2961374, -0.6222560, 5.3557127, -1.9586769
1891045374643667, 0, 0.7602997, 0.0147726, 0.3399448, -0.0612227, 5.0991463, -2.0378622
1891045384606667, 0, 0.7929357, -0.0679295, 0.3306554, 0.6385721, 4.9012578, -2.1713846
1891045394568667, 0, 0.7720347, -0.0800786, 0.2643614, 1.2720547, 4.8041098, -2.3026616
1891045404530667, 0, 0.7037246, 0.0006080, 0.1721973, 1.6762143, 4.7539641, -2.4363336
1891045414493667, 0, 0.5733341, 0.1257545, 0.0820808, 1.7854871, 4.5885580, -2.7586134
1891045424455667, 0, 0.3851200, 0.2396208, 0.0142029, 1.7142352, 4.3539958, -3.3039294
1891045434418667, 0, 0.1698048, 0.3604120, -0.0238819, 1.5200890, 4.0148012, -3.8107755
1891045444380667, 0, -0.0274796, 0.4670447, -0.0314786, 1.2747491, 3.6652780, -3.9875578
1891045454342667, 0, -0.1660444, 0.5369010, -0.0323353, 1.0171349, 3.4247282, -3.8273909
1891045464305667, 0, -0.2407649, 0.5967611, -0.0345702, 0.8641530, 3.3626074, -3.4266742
1891045474267667, 0, -0.2591668, 0.6825871, -0.0451214, 0.7393126, 3.4646951, -3.1683115
1891045484230667, 0, -0.2474551, 0.7697385, -0.0594234, 0.6324348, 3.7158728, -3.1969020
1891045494192667, 0, -0.2494170, 0.7877175, -0.0683484, 0.5777985, 4.1020697, -3.5917809
1891045504154667, 0, -0.2610162, 0.7603120, -0.0815151, 0.4041595, 4.7292654, -4.0221359
1891045514117667, 0, -0.2685753, 0.7060176, -0.1248482, 0.3186873, 5.7089781, -4.1881407
1891045524079667, 0, -0.2613847, 0.6410772, -0.1632542, 0.1721420, 6.5945366, -4.1448807
1891045534042667, 0, -0.2263125, 0.5657731, -0.1586096, -0.0257465, 7.1786220, -3.9067259
1891045544004667, 0, -0.1654300, 0.4998639, -0.1129250, -0.2131567, 7.6766364, -3.8586758
1891045553967667, 0, -0.1432187, 0.4105127, -0.0478096, -0.1727408, 8.1827339, -4.6473857
1891045563929667, 0, -0.2046053, 0.3148296, 0.0135352, 0.0585283, 8.8629195, -6.4132635
1891045573891667, 0, -0.2499070, 0.1179751, 0.0834848, 0.4996609, 9.5387640, -7.0674033
1891045583854667, 0, -0.1684612, -0.1442291, 0.1505868, 1.1153307, 9.6392052, -5.9389000
1891045593816667, 0, -0.0279166, -0.2801749, 0.1636507, 1.7619859, 9.5528348, -5.0656160
1891045603779667, 0, 0.0300540, -0.2515470, 0.1400359, 2.1754262, 9.9014598, -5.3661909
1891045613741667, 0, -0.0183684, -0.1762682, 0.1290307, 2.0013382, 10.6437662, -6.3581781
1891045623703667, 0, -0.0513133, -0.1569113, 0.1330728, 1.5585590, 10.9810149, -6.2532463
1891045633666667, 0, -0.0168141, -0.1351642, 0.1280067, 1.0993140, 10.8289311, -5.3416420
1891045643628667, 0, 0.0679974, -0.1031432, 0.1358148, 0.4993616, 11.0733728, -4.8440767
1891045653591667, 0, 0.1803096, -0.1450011, 0.1724937, -0.0601749, 11.8589392, -4.6762756
1891045663553667, 0, 0.2248619, -0.2401047, 0.2151650, -0.5083429, 12.6856700, -5.4146901
1891045673515667, 0, -0.0171143, -0.2670386, 0.2371793, -0.9177415, 13.6724181, -8.9088739
1891045683478667, 0, -0.0924048, -0.3121076, 0.2676269, -0.3038681, 14.4769949, -8.7876260
1891045693440667, 0, 0.0549674, -0.3642856, 0.3256236, 0.6221063, 13.4174982, -4.2801993
1891045703403667, 0, 0.0782748, -0.2275013, 0.3309460, 1.3307327, 13.0208231, -5.0717532
1891045713365667, 0, -0.0369966, -0.0578090, 0.3215890, 1.9824774, 13.7611835, -7.3848930
1891045723327667, 0, -0.0420455, -0.0955169, 0.3244817, 2.5956024, 13.6165842, -6.2307930
1891045733290667, 0, 0.0119533, -0.2411213, 0.2889096, 3.1979498, 12.8843069, -5.3486774
1891045743252667, 0, 0.1594200, -0.4905753, 0.2012580, 3.7145256, 12.6458528, -5.3422408
1891045753215667, 0, 0.4501733, -0.8203213, 0.0933302, 3.8345760, 12.5051454, -4.2851390
1891045763177667, 0, 0.8230518, -1.0941051, -0.0201801, 3.5766623, 12.0958965, -3.4516722
1891045773139667, 0, 1.0959350, -1.1014291, -0.1410889, 3.2358211, 11.7908308, -4.0736288
1891045783102667, 0, 1.1384484, -0.9486707, -0.2217039, 3.1272968, 11.2973071, -5.9814116
1891045793064667, 0, 0.9981746, -0.8798493, -0.2131560, 3.1464569, 10.2993324, -6.8873277
1891045803027667, 0, 0.7193579, -0.7697082, -0.1661666, 3.2747401, 9.1358020, -7.0349208
1891045812989667, 0, 0.3628136, -0.5342996, -0.1492180, 3.5149905, 8.3446971, -7.2007759
1891045822951667, 0, 0.0020589, -0.2692893, -0.1509831, 3.5289116, 8.0179266, -6.6624953
1891045832914667, 0, -0.3331809, -0.0404089, -0.1650116, 3.1835797, 7.7947408, -6.2514500
1891045842876667, 0, -0.6263790, 0.1320294, -0.1708804, 2.6517357, 7.8263251, -6.0528131
1891045852839667, 0, -0.8387098, 0.3053266, -0.1566535, 2.0504361, 7.9327538, -5.8058267
1891045862801667, 0, -0.9461082, 0.4246205, -0.1123106, 1.8193167, 7.9531114, -5.4371434
1891045872764667, 0, -0.9248312, 0.4791320, -0.0695013, 1.8291962, 7.9489201, -4.9400272
1891045882726667, 0, -0.7562650, 0.4543284, -0.0506954, 1.9389180, 7.9746666, -4.3724075
1891045892688667, 0, -0.4547361, 0.3407701, -0.0469827, 1.8956580, 7.8847037, -3.7004549
1891045902651667, 0, -0.0720065, 0.1820883, -0.0549916, 1.6817528, 7.7963873, -3.2172597
1891045912613667, 0, 0.3083166, -0.0038421, -0.0572295, 1.3898598, 7.5937088, -2.9954210
1891045922576667, 0, 0.6273319, -0.1906267, -0.0438998, 1.1930191, 7.1814661, -2.9100984
1891045932538667, 0, 0.8590766, -0.2989787, -0.0291510, 1.1656261, 6.7316515, -2.7364595
1891045942500667, 0, 1.0207577, -0.3529978, -0.0100761, 1.2994478, 6.4089226, -2.5357269
1891045952463667, 0, 1.0661031, -0.4015040, -0.0261099, 1.6354990, 6.1742107, -2.5316853
1891045962425667, 0, 0.9821096, -0.4089774, -0.0868944, 1.9468515, 5.8457936, -2.7421477
1891045972388667, 0, 0.8041276, -0.3190027, -0.1768999, 1.8357825, 5.4850438, -3.0115874
1891045982350667, 0, 0.5678869, -0.1565270, -0.2530898, 1.3320799, 5.0989966, -3.3027319
1891045992312667, 0, 0.2897937, -0.0140514, -0.2774883, 0.6688092, 4.6816644, -3.6774028
1891046002275667, 0, -0.0066443, 0.0773299, -0.2545037, 0.0609233, 4.1995171, -4.0549178
1891046012237667, 0, -0.2818626, 0.1424914, -0.1970952, -0.3375481, 3.7526962, -4.2046065
1891046022200667, 0, -0.5014682, 0.2183760, -0.1469490, -0.3891907, 3.5076558, -4.0694376
1891046032162667, 0, -0.6509184, 0.2505164, -0.1261095, -0.2968327, 3.5128949, -3.9618114
1891046042124667, 0, -0.7360096, 0.2177901, -0.1281532, -0.1757346, 3.6347415, -4.0293210
1891046052087667, 0, -0.7764332, 0.1513498, -0.1301977, -0.1227448, 3.6571948, -4.1314087
1891046062049667, 0, -0.7850946, 0.0585547, -0.1043051, -0.1872606, 3.6214192, -4.1803569
1891046072012667, 0, -0.7548171, -0.0221370, -0.0581344, -0.1675017, 3.6769537, -4.0433917
1891046081974667, 0, -0.7094775, -0.0163622, -0.0121179, -0.0023950, 4.0351588, -3.7321889
1891046091936667, 0, -0.6767521, 0.0389762, 0.0126197, 0.2573149, 4.5487408, -3.7417690
1891046101899667, 0, -0.6868143, 0.0429592, 0.0131065, 0.8482860, 5.3453842, -4.1781116
1891046111861667, 0, -0.7367896, 0.0169963, -0.0287496, 1.5408957, 6.3432092, -4.6409491
1891046121824667, 0, -0.7862376, -0.0079115, -0.1042055, 2.0537292, 7.2190379, -4.9214658
1891046131786667, 0, -0.7949126, -0.0116124, -0.1748027, 2.1225861, 7.9281134, -4.8069539
1891046141749667, 0, -0.7607413, 0.0192102, -0.1889276, 1.8429675, 8.2861688, -4.6879514
1891046151711667, 0, -0.7351491, 0.1144563, -0.1587079, 1.4590160, 8.6503615, -5.2383568
1891046161673417, 0, -0.7172111, 0.1854063, -0.1228436, 1.2493021, 9.3874287, -6.3349763
1891046171636417, 0, -0.5582361, 0.0973050, -0.0860257, 1.2497511, 9.9538509, -5.6767950
1891046181598417, 0, -0.3036611, -0.0084673, -0.0628091, 1.3488451, 10.0725540, -4.8084508
1891046191561417, 0, -0.0648466, -0.0890931, -0.0841197, 1.4326707, 10.4219275, -5.1097742
1891046201523417, 0, 0.0716755, -0.1975144, -0.1506667, 1.6429834, 10.9917924, -6.1719653
1891046211485417, 0, 0.1477184, -0.3572055, -0.2472465, 1.8285974, 11.5284265, -6.9457063
1891046221448417, 0, 0.2474244, -0.4966002, -0.3547355, 1.8028510, 11.7314044, -5.9755737
1891046231410417, 0, 0.3124706, -0.5064600, -0.4595743, 1.4447955, 11.8034047, -5.2274295
1891046241373417, 0, 0.3025719, -0.4141863, -0.5056499, 0.7210506, 11.8050513, -5.1695000
1891046251335417, 0, 0.2418837, -0.2333086, -0.4625855, -0.2471361, 11.8047519, -4.9398775
1891046261297417, 0, -0.1167924, 0.2423692, -0.3700060, -1.0327025, 12.1641545, -6.3717998
1891046271260417, 0, -0.7900108, 0.7240869, -0.2798820, -1.3536351, 13.5728751, -11.9322867
1891046281222417, 0, -0.8189154, 0.5818538, -0.0877703, -1.4575191, 13.7185222, -6.7843419
1891046291185417, 0, -0.6102980, 0.6160249, 0.0893949, -1.1219170, 12.3648871, -2.7988797
1891046301147417, 0, -0.5411586, 0.7611027, 0.1320574, -0.3153941, 12.6793831, -5.5606366
1891046311110417, 0, -0.3423414, 0.5580435, 0.1295010, 0.3688330, 13.0257628, -5.0624725
1891046321072417, 0, 0.0099051, 0.2967092, 0.1132448, 0.7333250, 12.4985591, -2.7202931
1891046331034417, 0, 0.2975222, 0.2201004, 0.0194746, 0.8425978, 12.6927054, -3.1268477
1891046340997417, 0, 0.4790406, 0.1778757, -0.1133103, 0.5794450, 13.1074928, -4.3533971
1891046350959417, 0, 0.6934043, 0.0263027, -0.1859968, -0.0258961, 12.5973537, -3.5262172
1891046360922417, 0, 0.8166384, -0.0561757, -0.2127597, -0.6153703, 12.0216508, -3.7435652
1891046370884417, 0, 0.8312466, -0.1012699, -0.2285887, -1.1181747, 11.9879709, -5.0714539
1891046380846417, 0, 0.7796633, -0.1267931, -0.2358959, -1.3793816, 11.9126775, -5.2645523
1891046390809417, 0, 0.6525528, -0.0970344, -0.2440462, -1.4473402, 11.5980318, -5.6595808
1891046400771417, 0, 0.4941290, -0.0352179, -0.2662386, -1.3807288, 11.1706705, -5.7264917
1891046410734417, 0, 0.3086790, 0.1032164, -0.2912870, -1.1874806, 10.7064857, -5.4107982
1891046420696417, 0, 0.0911331, 0.3202185, -0.3299814, -0.9171428, 10.4771626, -5.4814513
1891046430658417, 0, -0.1002635, 0.5153313, -0.3537051, -1.0030641, 10.3247795, -5.4066069
1891046440621417, 0, -0.2291112, 0.6359767, -0.3358931, -1.3852194, 9.9375348, -5.1500404
1891046450583417, 0, -0.3134743, 0.6503261, -0.2976679, -1.7631834, 9.5489429, -5.1445020
1891046460546417, 0, -0.3355924, 0.5416590, -0.2570542, -1.9968475, 9.3591376, -5.1913545
1891046470508417, 0, -0.2671252, 0.3707509, -0.2040357, -2.1502785, 9.0858060, -4.6735812
1891046480470417, 0, -0.1298802, 0.1760946, -0.1310036, -2.2721251, 8.7138295, -4.0095621
1891046490433417, 0, 0.0583235, -0.0135502, -0.0319292, -2.3067032, 8.2855701, -3.4783168
1891046500395417, 0, 0.2747333, -0.1841890, 0.0818831, -2.2490730, 7.7372603, -2.9717702
1891046510358417, 0, 0.4865217, -0.3401152, 0.2060267, -2.0739372, 7.1825139, -2.6759853
1891046520320417, 0, 0.6635969, -0.4428424, 0.3239712, -1.7441730, 6.7388365, -2.4700136
1891046530283417, 0, 0.7758726, -0.4583487, 0.3936389, -1.2249028, 6.3786855, -2.4442671
1891046540245417, 0, 0.8181114, -0.4461173, 0.4220743, -0.7092252, 5.9583595, -2.6171576
1891046550207417, 0, 0.7983747, -0.4325392, 0.4120927, -0.3001259, 5.5664745, -2.8054660
1891046560170417, 0, 0.7233103, -0.4199491, 0.3702635, 0.1293311, 5.1991383, -2.9693752
1891046570132417, 0, 0.5998871, -0.3814541, 0.3137625, 0.4879852, 4.8183302, -3.2244447
1891046580095417, 0, 0.4348425, -0.3136916, 0.2585756, 0.7249425, 4.4159669, -3.4937347
1891046590057417, 0, 0.2509241, -0.2087774, 0.2173589, 0.8767268, 4.0486308, -3.6850369
1891046600019417, 0, 0.0733501, -0.0668256, 0.1925178, 0.9214838, 3.7775446, -3.6829413
1891046609982417, 0, -0.0852006, 0.0931576, 0.1715278, 0.9720786, 3.5420842, -3.6693196
1891046619944417, 0, -0.2194106, 0.2399751, 0.1340143, 1.0746153, 3.4072147, -3.6672240
1891046629907417, 0, -0.3224531, 0.3204425, 0.0792868, 1.1428734, 3.3272809, -3.6350409
1891046639869417, 0, -0.3854982, 0.3342629, 0.0056352, 1.1994557, 3.3168027, -3.6730618
1891046649832417, 0, -0.4218945, 0.3114956, -0.0796091, 1.1409274, 3.5119968, -3.7561391
1891046659794417, 0, -0.4394509, 0.2880547, -0.1467128, 0.8747809, 3.7950581, -3.9654039
1891046669756417, 0, -0.4417681, 0.2552224, -0.1806478, 0.5260062, 4.0588097, -4.1218286
1891046679719417, 0, -0.4187120, 0.1826694, -0.1801019, 0.2022295, 4.3204655, -4.0975790
1891046689681417, 0, -0.3745952, 0.0785571, -0.1664420, 0.0919089, 4.8177315, -4.1209305
1891046699644417, 0, -0.3148080, -0.0332693, -0.1631690, 0.0609233, 5.6661671, -4.1408391
1891046709606417, 0, -0.2475161, -0.2059984, -0.1826667, 0.0959505, 6.3719495, -4.3164240
1891046719568417, 0, -0.1749004, -0.4099601, -0.2279109, 0.2044748, 7.2163435, -4.3222618
1891046729531417, 0, -0.1612387, -0.5007723, -0.2515287, -0.0974474, 8.2313828, -4.4840753
1891046739493417, 0, -0.2779941, -0.3977596, -0.2164737, -0.5435197, 9.0036269, -5.4509148
1891046749456417, 0, -0.4518460, -0.2390994, -0.1310518, -0.8120613, 9.3453662, -6.3617706
1891046759418417, 0, -0.5381420, -0.1907015, -0.0184967, -0.6270461, 9.3169254, -5.8679475
1891046769380417, 0, -0.5489505, -0.1720296, 0.0793393, -0.3044669, 9.5980408, -5.1828223
1891046779343417, 0, -0.5646045, -0.0908585, 0.1430003, 0.0473016, 10.2256856, -5.4057088
1891046789305417, 0, -0.6142520, 0.0293235, 0.1783721, 0.0556842, 10.8774303, -6.1040067
1891046799268417, 0, -0.6207275, 0.0812054, 0.2183161, -0.2248325, 11.2098889, -6.1677740
1891046809230417, 0, -0.5450711, 0.0240095, 0.2961643, -0.6420149, 11.1923753, -5.4675302
1891046819193417, 0, -0.4288528, -0.1137476, 0.4103300, -1.0898836, 11.3291908, -5.0986972
1891046829155417, 0, -0.2725530, -0.2647030, 0.5565343, -1.2590318, 11.5442935, -4.9674202
1891046839117417, 0, -0.1494281, -0.3606194, 0.6660478, -1.0596465, 11.9941081, -4.7671367
1891046849080417, 0, -0.3340834, -0.2853902, 0.6541070, -0.3845503, 13.1080916, -7.4136333
1891046859042417, 0, -0.3753129, -0.2819153, 0.5580856, 0.6758446, 14.1298668, -8.1806383
1891046869005417, 0, -0.1846745, -0.3230563, 0.4912057, 1.3171111, 13.5644925, -3.6211198
1891046878967417, 0, -0.1816199, -0.2810919, 0.4229188, 1.3904585, 12.8760741, -5.0669632
1891046888929417, 0, -0.2252307, -0.2562294, 0.3933324, 1.3087285, 12.5940605, -6.3294379
1891046898892417, 0, -0.2257066, -0.2459171, 0.4112349, 1.2042458, 12.2017264, -5.3961287
1891046908854417, 0, -0.1822827, -0.3016427, 0.3895313, 1.4642551, 12.2256766, -5.8904008
1891046918817417, 0, -0.0042041, -0.5003949, 0.3227402, 1.9288889, 12.4874821, -4.6845085
1891046928779417, 0, 0.2903519, -0.7699739, 0.2437373, 2.0802242, 12.5386757, -3.4819093
1891046938742417, 0, 0.6158643, -1.0320356, 0.2124430, 1.5742763, 12.3214774, -2.6807753
1891046948704417, 0, 0.7400395, -1.1774647, 0.2282784, 0.8878038, 12.2343585, -3.8520895
1891046958666417, 0, 0.6988564, -1.1742368, 0.2608228, 0.6358777, 12.3877895, -5.6196140
1891046968629417, 0, 0.6226018, -1.0819601, 0.3250471, 0.7617659, 12.0138670, -5.4881873
1891046978591417, 0, 0.4853244, -0.9142171, 0.3999274, 1.1931688, 11.3209579, -5.4823494
1891046988554417, 0, 0.2860765, -0.7324849, 0.4451905, 1.9631676, 10.7305856, -5.3925362
1891046998516417, 0, 0.0238936, -0.5553556, 0.4170444, 2.9407846, 10.3987257, -5.1404604
1891047008478417, 0, -0.2640764, -0.3530968, 0.3154525, 3.7995488, 10.2437979, -4.8672784
1891047018441417, 0, -0.5447677, -0.0915044, 0.1745231, 4.2749602, 10.0459094, -4.4652145
1891047028403417, 0, -0.7855947, 0.2517049, 0.0519996, 4.2055046, 9.7260246, -4.0297701
1891047038366417, 0, -0.9648225, 0.6143109, -0.0161654, 3.6952158, 9.2787547, -3.9706430
1891047048328417, 0, -1.0283428, 0.8578231, -0.0254963, 2.9642857, 8.8660629, -3.7901184
1891047058290417, 0, -0.9480488, 0.9158345, 0.0070209, 2.2370979, 8.5428850, -3.3919464
1891047068253417, 0, -0.7360373, 0.7701215, 0.0789092, 1.5473323, 8.1942599, -2.9157866
1891047078215417, 0, -0.4587942, 0.4360521, 0.2070453, 0.8237370, 7.9010197, -2.7687923
1891047088178417, 0, -0.1846428, -0.0424271, 0.3843740, 0.2104623, 7.6142162, -2.8699818
1891047098140417, 0, 0.0341689, -0.5562688, 0.4930502, 0.2526746, 7.2438863, -2.7529253
1891047108103417, 0, 0.1669629, -0.9851744, 0.4440272, 1.1799962, 7.3733670, -2.5104295
1891047118065417, 0, 0.2123024, -1.2226332, 0.2787166, 2.2266197, 7.5893678, -2.4123834
1891047128027417, 0, 0.1807961, -1.2449561, 0.0674222, 2.8879445, 7.5184154, -2.3073019
1891047137990417, 0, 0.1133883, -1.0807201, -0.1124901, 2.9699739, 7.1567674, -2.2442830
1891047147952417, 0, 0.0518715, -0.7898504, -0.2279653, 2.6071284, 6.6400420, -2.0299287
1891047157915625, 0, 0.0200230, -0.4452880, -0.2757690, 1.9880159, 6.1090961, -1.8378781
1891047167877625, 0, -0.0109397, -0.1326544, -0.2811635, 1.2978012, 5.6052438, -1.9128722
1891047177839625, 0, -0.0722955, 0.0625526, -0.2842277, 0.7586224, 5.1130673, -2.3959177
1891047187802625, 0, -0.1635636, 0.0911917, -0.2940444, 0.3207829, 4.7409412, -3.0852342
1891047197764625, 0, -0.2404518, -0.0190887, -0.2885114, -0.0428110, 4.5264372, -3.6504588
1891047207727625, 0, -0.2581793, -0.1667386, -0.2742350, -0.2357597, 4.4206073, -3.6735109
1891047217689625, 0, -0.2282057, -0.3041863, -0.2671002, -0.3098557, 4.3352847, -3.4706827
1891047227652625, 0, -0.1885776, -0.3960499, -0.2640484, -0.3953279, 4.3189687, -3.3611105
1891047237614625, 0, -0.1719065, -0.4355153, -0.2334642, -0.4797523, 4.3463617, -3.2888109
1891047247576625, 0, -0.1896597, -0.3886490, -0.1696822, -0.4986131, 4.4215054, -3.2973431
1891047257539625, 0, -0.2281341, -0.2370645, -0.0936067, -0.4209247, 4.5831693, -3.3117133
1891047267501625, 0, -0.2683572, -0.0680853, -0.0152820, -0.3245251, 4.8765591, -3.2560291
1891047277464625, 0, -0.3059458, 0.0430564, 0.0522190, -0.2544708, 5.3323613, -3.4982254
1891047287426625, 0, -0.3159153, 0.0335721, 0.1089579, -0.1359174, 5.9237814, -3.9574704
1891047297388625, 0, -0.2639289, -0.0727831, 0.1607393, 0.0636177, 6.6978218, -4.0574625
1891047307351625, 0, -0.1478970, -0.2012679, 0.1848846, 0.4257147, 7.5862244, -3.9390587
1891047317313625, 0, -0.0515332, -0.2785422, 0.1629863, 0.8728349, 8.7636758, -4.0995250
1891047327276625, 0, -0.0469081, -0.2922215, 0.1032217, 1.1701167, 9.9629819, -4.9603848
1891047337238625, 0, -0.1055216, -0.3011423, 0.0428788, 1.3659096, 10.9920918, -5.8245378
1891047347201625, 0, -0.1138467, -0.3156176, 0.0149276, 1.4555731, 11.4499896, -5.5333932
1891047357163625, 0, -0.0521207, -0.2778487, 0.0227434, 1.5060182, 11.4624138, -4.9493079
1891047367125625, 0, 0.0545184, -0.1911377, 0.0538973, 1.4729370, 11.3926588, -4.5707451
1891047377088625, 0, 0.1016531, -0.1087267, 0.0620865, 1.5530205, 11.4863640, -5.2415002
1891047387050625, 0, 0.1878887, -0.2479938, 0.0283030, 1.6027171, 11.9628232, -5.7931032
1891047397013625, 0, 0.3564894, -0.5076091, -0.0237876, 1.4765295, 12.2943837, -5.2790721
1891047406975625, 0, 0.5269075, -0.6868388, -0.0617829, 1.0392888, 12.4927213, -4.8362929
1891047416937625, 0, 0.6518736, -0.7172984, -0.0438703, 0.3323090, 12.5726550, -4.4893144
1891047426900625, 0, 0.6775020, -0.5131448, 0.0172277, -0.4646338, 12.7364145, -4.3352847
1891047436862625, 0, 0.2936415, 0.0905576, 0.0704454, -1.0812016, 13.3933983, -6.8738557
1891047446825625, 0, 0.0210283, 0.3204579, 0.0959497, -1.1933185, 14.4120300, -9.0590117
1891047456787625, 0, 0.1925149, 0.2120917, 0.1106780, -0.7084767, 13.7801939, -4.4915598
1891047466750625, 0, 0.3016536, 0.2272989, 0.1175637, -0.5143304, 13.0931227, -5.1221983
1891047476712625, 0, 0.4567561, 0.0194467, 0.1506556, -0.3613486, 13.1606323, -5.7775356
1891047486674625, 0, 0.7161949, -0.2471549, 0.1745076, 0.1239423, 12.8241321, -4.2194257
1891047496637625, 0, 1.0540727, -0.4527941, 0.1721489, 0.5536986, 12.5614284, -3.2085777
1891047506599625, 0, 1.3094531, -0.5701527, 0.1400556, 0.6135741, 12.4033571, -2.6408084
1891047516562625, 0, 1.3446039, -0.5669764, 0.0923251, 0.3998186, 12.3144420, -3.5408867
1891047526524625, 0, 1.2142766, -0.4791466, 0.0568926, 0.0799338, 12.1360130, -4.6047244
1891047536487625, 0, 0.9571571, -0.2546861, 0.0136202, -0.0711021, 11.7171840, -5.2663486
1891047546449625, 0, 0.6057083, 0.0240859, -0.0254505, 0.0197589, 11.0823541, -6.0561063
1891047556411625, 0, 0.2707505, 0.2513499, -0.0617291, 0.1395099, 10.2117645, -6.3614713
1891047566374625, 0, 0.0322892, 0.4174441, -0.1139210, 0.2884502, 9.3654245, -5.9418938
1891047576336625, 0, -0.1188113, 0.5551804, -0.1793562, 0.2436932, 8.7100873, -5.6133270
1891047586299625, 0, -0.2094289, 0.6359858, -0.2341443, -0.1152603, 8.2231499, -5.7712486
1891047596261625, 0, -0.2428385, 0.5993077, -0.2876475, -0.5152286, 7.9279637, -5.9026753
1891047606223625, 0, -0.2216869, 0.4714477, -0.3526065, -0.8372090, 7.9236227, -5.7359221
1891047616186625, 0, -0.1694173, 0.3158930, -0.4124216, -1.1779005, 8.1598315, -5.5259088
1891047626148625, 0, -0.0833780, 0.1659184, -0.4439338, -1.5615527, 8.2939526, -5.1768347
1891047636111625, 0, 0.0021145, 0.0772607, -0.4252890, -1.9193088, 8.2668590, -4.6638515
1891047646073625, 0, 0.0803241, 0.0643713, -0.3508693, -2.1884491, 8.0990579, -4.3286984
1891047656036625, 0, 0.1582168, 0.1129692, -0.2495241, -2.3532564, 7.8707826, -3.9207967
1891047665998625, 0, 0.2249282, 0.1573119, -0.1500803, -2.3230193, 7.7218423, -3.6920723
1891047675960625, 0, 0.2863165, 0.1632864, -0.0710646, -2.0675006, 7.6058336, -3.6046541
