#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891009859147750, 0, -0.1635343, 0.1599811, 0.2644189, 0.9083112, 5.5085449, -5.4816010
1891009869109750, 0, -0.2484311, 0.1449822, 0.2955725, 1.1189232, 5.5964122, -5.4896841
1891009879071750, 0, -0.3373218, 0.1322467, 0.2916244, 1.5479311, 5.6550902, -5.5506075
1891009889033750, 0, -0.3928357, 0.0880436, 0.2536078, 1.9842737, 5.7645126, -5.3860995
1891009898995750, 0, -0.4329312, 0.0546939, 0.2168926, 2.1429437, 5.9526714, -4.9999026
1891009908958750, 0, -0.4730283, 0.0482765, 0.1494925, 2.3917264, 6.1716660, -4.4831772
1891009918920750, 0, -0.4672838, 0.0016440, 0.0209772, 2.7307713, 6.3478496, -3.9601648
1891009928882750, 0, -0.4221566, -0.0218797, -0.1004110, 2.6824219, 6.5485822, -3.3876054
1891009938844750, 0, -0.3717360, -0.0830866, -0.1533624, 1.9932550, 6.6964746, -3.0793964
1891009948806750, 0, -0.3494177, -0.1510457, -0.1780193, 1.2745995, 6.9268456, -3.0389804
1891009958769750, 0, -0.3699757, -0.1628872, -0.1668902, 0.8945398, 7.2901401, -2.9871881
1891009968731750, 0, -0.3920583, -0.0600452, -0.1274083, 0.8476872, 7.6360707, -2.9960197
1891009978693750, 0, -0.3372926, -0.0313342, -0.1629005, 0.9385483, 8.1209125, -2.9990135
1891009988655750, 0, -0.2062618, -0.2571367, -0.2804210, 0.6405180, 8.6322491, -3.2079790
1891009998617750, 0, 0.0123075, -0.5453200, -0.3628328, 0.1287323, 9.2473201, -3.0973590
1891010008580750, 0, 0.2558725, -0.7569854, -0.3340845, -0.3079097, 9.2305550, -2.6429041
1891010018542750, 0, 0.4462177, -0.8175686, -0.2175227, -0.9988728, 8.9837183, -2.5351282
1891010028504750, 0, 0.6449939, -0.6457092, -0.0338493, -0.7734416, 9.1515193, -1.9761905
1891010038466750, 0, 0.7741631, -0.4053696, 0.0957305, -0.0642165, 8.9091733, -2.2869443
1891010048428750, 0, 0.8648695, -0.3828534, 0.0982440, 0.5586383, 8.5078578, -3.5087036
1891010058391750, 0, 0.9563497, -0.4389925, 0.0659540, 0.9345067, 8.4928889, -4.1995171
1891010068353750, 0, 0.9581531, -0.2803512, 0.0927227, 1.0306068, 8.4901945, -4.3658212
1891010078315750, 0, 0.9992114, 0.0223303, 0.1008771, 1.7345929, 8.3801733, -4.2204735
1891010088277750, 0, 1.1259073, 0.0866417, 0.0202595, 2.6183551, 8.8552853, -4.5876599
1891010098239750, 0, 1.2963054, -0.1114538, -0.0844883, 2.9232710, 9.3627301, -5.7743921
1891010108202750, 0, 1.3676025, -0.3918839, -0.1389265, 2.6836194, 9.5610677, -7.2884935
1891010118164750, 0, 1.2349589, -0.5761557, -0.1475554, 2.3984624, 10.1084793, -9.0251820
1891010128126750, 0, 0.6569262, -0.6983749, -0.2156990, 2.8324100, 11.0871442, -12.3648871
1891010138088875, 0, -1.2372495, -0.6982592, -0.4202133, 4.3902205, 12.6278902, -23.0490692
1891010148050875, 0, -2.0156202, -0.6142565, -0.4481890, 5.5929694, 13.7638779, -27.7659105
1891010158013875, 0, -1.3812346, -0.4241310, -0.4532428, 4.7294151, 12.1538260, -3.1208601
1891010167975875, 0, -0.6467676, -0.7318071, -0.7442678, 5.9757234, 10.7994424, -0.1440005
1891010177937875, 0, 0.0538371, -1.2008361, -1.0840477, 5.6212605, 10.6579866, -0.9660910
1891010187899875, 0, 0.6397858, -1.5501657, -1.1364092, 2.3351440, 12.3255190, -0.3906876
1891010197861875, 0, 0.8825364, -1.7051659, -0.9649663, -1.1930191, 13.0932724, -1.5730788
1891010207824875, 0, 0.8758865, -1.8257596, -0.6521008, -3.7708086, 12.9090056, -2.6569748
1891010217786875, 0, 0.8055785, -2.1328616, -0.2629914, -5.8103174, 13.0976134, -2.5670119
1891010227748875, 0, 0.7394762, -2.3237178, 0.1477474, -6.8175728, 13.5326088, -1.1000624
1891010237710875, 0, 0.6555877, -1.9972239, 0.5686621, -6.1047551, 14.1984242, 1.4141093
1891010247672875, 0, 0.5109589, -1.4705914, 0.8479872, -4.6813651, 14.1930354, 2.5020470
1891010257635875, 0, 0.0199620, -1.0735937, 0.9355831, -3.1213092, 14.8509174, -0.5460645
1891010267597875, 0, -1.2962348, -0.7951791, 0.7686005, -1.0509645, 16.8161806, -11.6963773
1891010277559875, 0, -1.3076518, -0.6657181, 0.7636883, -0.6233038, 16.7018184, -7.4485107
